NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID1	4	14.13477611541748	0.21475504	Yes	
row_1	SMAD9	8	12.791363716125488	0.40913466	Yes	
row_2	SMAD7	34	8.65633487701416	0.5393606	Yes	
row_3	ENG	107	5.631518840789795	0.6208851	Yes	
row_4	TLX2	190	4.379340171813965	0.68279105	Yes	
row_5	BMPR2	663	2.1681101322174072	0.68870133	Yes	
row_6	TGFBR1	715	2.0948495864868164	0.71763873	Yes	
row_7	SMAD1	1397	1.331432819366455	0.6988389	No	
row_8	TGFB3	2501	0.7720688581466675	0.6473327	No	
row_9	ACVR2A	3720	0.457141637802124	0.5844422	No	
row_10	ACVR1	5402	0.16146284341812134	0.49050486	No	
row_11	SMAD4	6431	0.030213844031095505	0.43201604	No	
row_12	CAV1	6768	0.0	0.4127489	No	
row_13	MAPK1	7785	-0.06480362266302109	0.3554743	No	
row_14	ACVR2B	10885	-0.5059748888015747	0.18546484	No	
row_15	SMAD5	11192	-0.5657631754875183	0.176523	No	
row_16	FKBP1A	13157	-1.0499390363693237	0.07987102	No	
row_17	CSNK2B	13661	-1.199643850326538	0.06927374	No	
row_18	TGFB1	14341	-1.4374161958694458	0.05220056	No	
row_19	MAPK3	14645	-1.5854088068008423	0.058939155	No	
row_20	ACVRL1	15637	-2.158911943435669	0.03494871	No	
row_21	ARRB2	15810	-2.2749056816101074	0.059686184	No	
row_22	PPP1CA	15841	-2.2965335845947266	0.092895284	No	
