NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOG	9	12.56974983215332	0.13896865	Yes	
row_1	SMAD7	34	8.65633487701416	0.23364967	Yes	
row_2	HEY1	62	6.987412452697754	0.30963865	Yes	
row_3	NRP1	105	5.6372456550598145	0.36978412	Yes	
row_4	ENG	107	5.631518840789795	0.4322191	Yes	
row_5	BMPR1A	163	4.7899322509765625	0.48221588	Yes	
row_6	STRA6	249	3.8048460483551025	0.5195595	Yes	
row_7	LRP2	440	2.7087819576263428	0.5387141	Yes	
row_8	RBPJ	468	2.6151649951934814	0.5661847	Yes	
row_9	HES1	549	2.4045863151550293	0.5882768	Yes	
row_10	LRP1	555	2.382732629776001	0.6144307	Yes	
row_11	BMPR2	663	2.1681101322174072	0.6323491	Yes	
row_12	HEY2	669	2.1601829528808594	0.65603346	Yes	
row_13	TGFBR1	715	2.0948495864868164	0.67669713	Yes	
row_14	PKD2	1183	1.5021772384643555	0.6665645	No	
row_15	SOX4	1674	1.1414377689361572	0.6511088	No	
row_16	MYLK	4113	0.37563785910606384	0.5153552	No	
row_17	TBX2	4541	0.2932581305503845	0.49410307	No	
row_18	PDGFRB	4677	0.270439088344574	0.4893562	No	
row_19	NF1	4895	0.23876823484897614	0.47955167	No	
row_20	EFEMP2	5475	0.15119066834449768	0.4479994	No	
row_21	PROX1	6027	0.07829298079013824	0.41724515	No	
row_22	FOLR1	6132	0.064085453748703	0.41198754	No	
row_23	FOXF1	6823	0.0	0.372387	No	
row_24	HECTD1	7992	-0.08831705898046494	0.30633304	No	
row_25	TGFB2	8292	-0.1267726570367813	0.2905796	No	
row_26	JAG1	9924	-0.34814250469207764	0.20083638	No	
row_27	PDE2A	9952	-0.3525344729423523	0.20319882	No	
row_28	TBX1	10547	-0.45585352182388306	0.17416647	No	
row_29	VEGFA	10607	-0.46781161427497864	0.1759716	No	
row_30	ACVR2B	10885	-0.5059748888015747	0.16568874	No	
row_31	BMP4	11508	-0.6242813467979431	0.13691843	No	
row_32	NOTCH1	12454	-0.850441575050354	0.09212015	No	
row_33	ROBO1	12508	-0.8651081919670105	0.09867838	No	
row_34	ACVRL1	15637	-2.158911943435669	-0.0568869	No	
row_35	DLL4	16850	-3.4780852794647217	-0.08785018	No	
row_36	ADAMTS9	17028	-3.9854254722595215	-0.053782746	No	
row_37	ROBO2	17411	-7.08091402053833	0.0028696174	No	
