NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOG	9	12.56974983215332	0.15848501	Yes	
row_1	SMAD7	34	8.65633487701416	0.2666066	Yes	
row_2	HEY1	62	6.987412452697754	0.353445	Yes	
row_3	NRP1	105	5.6372456550598145	0.42234385	Yes	
row_4	ENG	107	5.631518840789795	0.4935225	Yes	
row_5	BMPR1A	163	4.7899322509765625	0.5509574	Yes	
row_6	STRA6	249	3.8048460483551025	0.59421027	Yes	
row_7	LRP2	440	2.7087819576263428	0.6175743	Yes	
row_8	RBPJ	468	2.6151649951934814	0.64910585	Yes	
row_9	HES1	549	2.4045863151550293	0.67493296	Yes	
row_10	LRP1	555	2.382732629776001	0.7047865	Yes	
row_11	HEY2	669	2.1601829528808594	0.72562873	Yes	
row_12	TGFBR1	715	2.0948495864868164	0.7495458	Yes	
row_13	PKD2	1183	1.5021772384643555	0.7417548	No	
row_14	SOX4	1674	1.1414377689361572	0.7280809	No	
row_15	MYLK	4113	0.37563785910606384	0.5929588	No	
row_16	TBX2	4541	0.2932581305503845	0.5721704	No	
row_17	PDGFRB	4677	0.270439088344574	0.56784606	No	
row_18	NF1	4895	0.23876823484897614	0.55841655	No	
row_19	EFEMP2	5475	0.15119066834449768	0.52711046	No	
row_20	PROX1	6027	0.07829298079013824	0.49648866	No	
row_21	FOLR1	6132	0.064085453748703	0.4913326	No	
row_22	FOXF1	6823	0.0	0.45174566	No	
row_23	TGFB2	8292	-0.1267726570367813	0.36912668	No	
row_24	JAG1	9924	-0.34814250469207764	0.2799562	No	
row_25	TBX1	10547	-0.45585352182388306	0.25003693	No	
row_26	VEGFA	10607	-0.46781161427497864	0.25256956	No	
row_27	BMP4	11508	-0.6242813467979431	0.20883131	No	
row_28	NOTCH1	12454	-0.850441575050354	0.16537212	No	
row_29	ACVRL1	15637	-2.158911943435669	0.010122524	No	
row_30	DLL4	16850	-3.4780852794647217	-0.015416637	No	
row_31	ADAMTS9	17028	-3.9854254722595215	0.024842197	No	
