NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.35688594	Yes	
row_1	HEY1	62	6.987412452697754	0.5204171	Yes	
row_2	EFNA1	160	4.816116809844971	0.62998104	Yes	
row_3	BMPR1A	163	4.7899322509765625	0.744366	Yes	
row_4	BMPR2	663	2.1681101322174072	0.76758224	Yes	
row_5	HEY2	669	2.1601829528808594	0.818933	Yes	
row_6	SOX4	1674	1.1414377689361572	0.7886527	No	
row_7	GATA4	3541	0.48418545722961426	0.6932375	No	
row_8	SLIT3	3805	0.44687095284461975	0.6888402	No	
row_9	ACVR1	5402	0.16146284341812134	0.60119134	No	
row_10	BMP2	6003	0.08205486834049225	0.5687511	No	
row_11	TBX20	6245	0.05168628320097923	0.5561686	No	
row_12	SMAD4	6431	0.030213844031095505	0.54628366	No	
row_13	HEYL	7560	-0.039028484374284744	0.4825414	No	
row_14	DCHS1	8020	-0.09180298447608948	0.45841858	No	
row_15	TGFB2	8292	-0.1267726570367813	0.4459109	No	
row_16	OLFM1	9738	-0.32072699069976807	0.37072685	No	
row_17	MDM4	9807	-0.32919642329216003	0.37469718	No	
row_18	AXIN2	10372	-0.42376238107681274	0.35248932	No	
row_19	NOTCH1	12454	-0.850441575050354	0.2535019	No	
row_20	ZFPM1	14257	-1.4023865461349487	0.1837051	No	
