NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.35732743	Yes	
row_1	HEY1	62	6.987412452697754	0.5210654	Yes	
row_2	EFNA1	160	4.816116809844971	0.63077205	Yes	
row_3	BMPR1A	163	4.7899322509765625	0.7452986	Yes	
row_4	BMPR2	663	2.1681101322174072	0.7685807	Yes	
row_5	HEY2	669	2.1601829528808594	0.81999534	Yes	
row_6	SOX4	1674	1.1414377689361572	0.78975207	No	
row_7	GATA4	3541	0.48418545722961426	0.69435734	No	
row_8	SLIT3	3805	0.44687095284461975	0.6899741	No	
row_9	ACVR1	5402	0.16146284341812134	0.6023353	No	
row_10	BMP2	6003	0.08205486834049225	0.56989944	No	
row_11	SMAD4	6431	0.030213844031095505	0.5461414	No	
row_12	HEYL	7560	-0.039028484374284744	0.48240402	No	
row_13	DCHS1	8020	-0.09180298447608948	0.45828542	No	
row_14	TGFB2	8292	-0.1267726570367813	0.44578236	No	
row_15	OLFM1	9738	-0.32072699069976807	0.3706126	No	
row_16	MDM4	9807	-0.32919642329216003	0.37459287	No	
row_17	AXIN2	10372	-0.42376238107681274	0.35239935	No	
row_18	NOTCH1	12454	-0.850441575050354	0.25344393	No	
row_19	ZFPM1	14257	-1.4023865461349487	0.18369453	No	
