NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.15095659	Yes	
row_1	SMAD9	8	12.791363716125488	0.27988932	Yes	
row_2	NOG	9	12.56974983215332	0.40698296	Yes	
row_3	BAMBI	12	11.032910346984863	0.5184228	Yes	
row_4	SMAD7	34	8.65633487701416	0.6047425	Yes	
row_5	BMP7	102	5.718123435974121	0.65871406	Yes	
row_6	BMPR1A	163	4.7899322509765625	0.7037023	Yes	
row_7	BMPR2	663	2.1681101322174072	0.6969888	No	
row_8	ZFYVE16	907	1.8000984191894531	0.70124507	No	
row_9	SMAD1	1397	1.331432819366455	0.68664575	No	
row_10	XIAP	1964	0.9835055470466614	0.6641099	No	
row_11	TAB2	2570	0.7442513704299927	0.6369168	No	
row_12	PPM1A	2602	0.7377241849899292	0.642597	No	
row_13	CHRDL1	4758	0.25841087102890015	0.5215441	No	
row_14	BMP2	6003	0.08205486834049225	0.45098615	No	
row_15	SMAD4	6431	0.030213844031095505	0.42678803	No	
row_16	CTDSP1	7403	-0.022615967318415642	0.37129536	No	
row_17	SMURF2	7571	-0.040401216596364975	0.36212048	No	
row_18	MAP3K7	7620	-0.04595153033733368	0.35983062	No	
row_19	MAPK1	7785	-0.06480362266302109	0.3510746	No	
row_20	SKI	7854	-0.07319793105125427	0.34791252	No	
row_21	GSK3B	7922	-0.08170662820339203	0.3448938	No	
row_22	GREM1	9644	-0.30739083886146545	0.2492414	No	
row_23	SMAD5	11192	-0.5657631754875183	0.16618648	No	
row_24	BMP4	11508	-0.6242813467979431	0.15442221	No	
row_25	RGMB	13149	-1.0463104248046875	0.07088928	No	
row_26	NUP214	13308	-1.1009856462478638	0.07295451	No	
row_27	SMURF1	13321	-1.1053720712661743	0.08344239	No	
row_28	PPP1R15A	13485	-1.1511253118515015	0.08572766	No	
row_29	BMP6	13999	-1.3132290840148926	0.06956705	No	
row_30	CTDSP2	14370	-1.446571707725525	0.0629608	No	
row_31	CHRD	14439	-1.4809547662734985	0.07403263	No	
row_32	RGMA	15839	-2.2923107147216797	0.016928019	No	
row_33	PPP1CA	15841	-2.2965335845947266	0.040091053	No	
row_34	TAB1	16073	-2.4770636558532715	0.051880773	No	
row_35	CTDSPL	16355	-2.740844488143921	0.06346832	No	
