NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID2	5	13.817145347595215	0.2546891	Yes	
row_1	HEY1	62	6.987412452697754	0.38042	Yes	
row_2	MSX2	69	6.565603256225586	0.50123477	Yes	
row_3	MSX1	150	4.911170482635498	0.587275	Yes	
row_4	BMPR1A	163	4.7899322509765625	0.6749782	Yes	
row_5	HOPX	634	2.228917121887207	0.6891524	Yes	
row_6	HEY2	669	2.1601829528808594	0.72706544	Yes	
row_7	SMAD1	1397	1.331432819366455	0.70993745	No	
row_8	SCN5A	2685	0.7072306275367737	0.64917135	No	
row_9	TBX5	3335	0.534624457359314	0.6218131	No	
row_10	GATA4	3541	0.48418545722961426	0.6189901	No	
row_11	DSG2	3861	0.43346327543258667	0.6086925	No	
row_12	SHOX2	4368	0.3235497772693634	0.5856411	No	
row_13	CACNA1G	5720	0.11795221269130707	0.51032996	No	
row_14	NOTCH2	5772	0.11138542741537094	0.5094603	No	
row_15	SMAD4	6431	0.030213844031095505	0.4722776	No	
row_16	NPPA	6937	0.0	0.44331288	No	
row_17	TBX18	7071	0.0	0.43568456	No	
row_18	TBX3	7072	0.0	0.43568456	No	
row_19	GATA6	8262	-0.12300964444875717	0.36975837	No	
row_20	ISL1	9165	-0.23730316758155823	0.32240245	No	
row_21	MSC	10681	-0.4798104166984558	0.24436249	No	
row_22	SMAD5	11192	-0.5657631754875183	0.22555135	No	
row_23	BMP4	11508	-0.6242813467979431	0.21900447	No	
row_24	MESP1	12811	-0.950943648815155	0.16187543	No	
row_25	MAML1	13134	-1.041170597076416	0.16262016	No	
row_26	IRX3	17194	-4.6333208084106445	0.01531397	No	
