NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.10781749	Yes	
row_1	NOG	9	12.56974983215332	0.1981318	Yes	
row_2	FGFR2	19	10.081090927124023	0.2704165	Yes	
row_3	HAND1	29	8.979242324829102	0.3347441	Yes	
row_4	SMAD7	34	8.65633487701416	0.39702702	Yes	
row_5	HEY1	62	6.987412452697754	0.44593626	Yes	
row_6	BMP7	102	5.718123435974121	0.48498973	Yes	
row_7	NRP1	105	5.6372456550598145	0.5255849	Yes	
row_8	ENG	107	5.631518840789795	0.5661961	Yes	
row_9	BMPR1A	163	4.7899322509765625	0.5976273	Yes	
row_10	STRA6	249	3.8048460483551025	0.6202211	Yes	
row_11	LRP2	440	2.7087819576263428	0.6288671	Yes	
row_12	HES1	549	2.4045863151550293	0.64002734	Yes	
row_13	BMPR2	663	2.1681101322174072	0.6491926	Yes	
row_14	HEY2	669	2.1601829528808594	0.66450536	Yes	
row_15	TGFBR1	715	2.0948495864868164	0.6770482	Yes	
row_16	SEMA3C	1034	1.673523187637329	0.6708642	No	
row_17	SOX4	1674	1.1414377689361572	0.64239573	No	
row_18	GATA3	2324	0.8292039632797241	0.61109793	No	
row_19	TBX5	3335	0.534624457359314	0.55693287	No	
row_20	GATA4	3541	0.48418545722961426	0.5486519	No	
row_21	MATR3	3784	0.4499278664588928	0.53799784	No	
row_22	SLIT3	3805	0.44687095284461975	0.54007596	No	
row_23	ZFPM2	4068	0.38472262024879456	0.527802	No	
row_24	TBX2	4541	0.2932581305503845	0.50280267	No	
row_25	NPHP3	4564	0.2888949513435364	0.50362504	No	
row_26	ACVR1	5402	0.16146284341812134	0.4567042	No	
row_27	NOTCH2	5772	0.11138542741537094	0.436309	No	
row_28	PROX1	6027	0.07829298079013824	0.42228174	No	
row_29	TBX20	6245	0.05168628320097923	0.41018805	No	
row_30	SMAD4	6431	0.030213844031095505	0.3997777	No	
row_31	HEYL	7560	-0.039028484374284744	0.3352543	No	
row_32	CITED2	7941	-0.08308633416891098	0.31402278	No	
row_33	HECTD1	7992	-0.08831705898046494	0.311788	No	
row_34	SOX11	8112	-0.10279882699251175	0.30569366	No	
row_35	GATA6	8262	-0.12300964444875717	0.29802173	No	
row_36	TGFB2	8292	-0.1267726570367813	0.29727113	No	
row_37	SLIT2	8343	-0.1333504468202591	0.29536158	No	
row_38	ISL1	9165	-0.23730316758155823	0.24990763	No	
row_39	MDM4	9807	-0.32919642329216003	0.21545859	No	
row_40	JAG1	9924	-0.34814250469207764	0.21130836	No	
row_41	PDE2A	9952	-0.3525344729423523	0.21230304	No	
row_42	TBX1	10547	-0.45585352182388306	0.18146889	No	
row_43	ANK2	11040	-0.538119912147522	0.15708886	No	
row_44	BMP4	11508	-0.6242813467979431	0.13476735	No	
row_45	CRELD1	12321	-0.8175667524337769	0.09402093	No	
row_46	NOTCH1	12454	-0.850441575050354	0.0925789	No	
row_47	ROBO1	12508	-0.8651081919670105	0.09578145	No	
row_48	MAML1	13134	-1.041170597076416	0.067393236	No	
row_49	ZFPM1	14257	-1.4023865461349487	0.013060203	No	
row_50	NRP2	15508	-2.078369617462158	-0.043744925	No	
row_51	FGF8	15653	-2.167689800262451	-0.03636371	No	
row_52	SALL1	16414	-2.8274128437042236	-0.059608318	No	
row_53	TGFBR3	16887	-3.558119297027588	-0.06103003	No	
row_54	PARVA	17349	-5.9206414222717285	-0.044758543	No	
row_55	ROBO2	17411	-7.08091402053833	0.0028725653	No	
