NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID2	5	13.817145347595215	0.17653255	Yes	
row_1	FGFR2	19	10.081090927124023	0.30479524	Yes	
row_2	PDGFRA	58	7.208322525024414	0.3948599	Yes	
row_3	SMO	79	6.317618370056152	0.47455928	Yes	
row_4	GATA5	112	5.507823944091797	0.5432069	Yes	
row_5	STRA6	249	3.8048460483551025	0.58409214	Yes	
row_6	PYY	683	2.1283388137817383	0.5864765	Yes	
row_7	EPHB3	863	1.8596351146697998	0.6000007	Yes	
row_8	NIPBL	1040	1.6649513244628906	0.61120564	Yes	
row_9	RARB	1060	1.6313154697418213	0.6309913	Yes	
row_10	MIXL1	1146	1.5420364141464233	0.64584625	Yes	
row_11	BBS7	1596	1.1911077499389648	0.63531846	No	
row_12	SRC	1913	1.0043503046035767	0.6300343	No	
row_13	DACT1	2057	0.9455903768539429	0.6339276	No	
row_14	IL6ST	2746	0.6882649660110474	0.60324734	No	
row_15	GATA4	3541	0.48418545722961426	0.56387156	No	
row_16	FOXE1	4099	0.37869730591773987	0.5367486	No	
row_17	NPHP3	4564	0.2888949513435364	0.51381415	No	
row_18	CLMP	5246	0.18357990682125092	0.47707716	No	
row_19	SIX2	5861	0.0989832729101181	0.4431031	No	
row_20	COBL	6005	0.08140410482883453	0.4359373	No	
row_21	GLI2	6088	0.06929661333560944	0.43211767	No	
row_22	FOXF1	6823	0.0	0.38998944	No	
row_23	FOXL1	6826	0.0	0.38987464	No	
row_24	SRP54	7614	-0.04549252241849899	0.34528664	No	
row_25	SOX11	8112	-0.10279882699251175	0.31807664	No	
row_26	GATA6	8262	-0.12300964444875717	0.3110989	No	
row_27	TGFB2	8292	-0.1267726570367813	0.31105676	No	
row_28	CHD8	9031	-0.22064226865768433	0.27152255	No	
row_29	MEGF8	9199	-0.24141168594360352	0.2650269	No	
row_30	KIT	10862	-0.5015879273414612	0.17605461	No	
row_31	GLI3	10948	-0.5163803100585938	0.17778417	No	
row_32	CCDC40	12144	-0.7735053896903992	0.11909531	No	
row_33	GLI1	12184	-0.7860285639762878	0.12691578	No	
row_34	PCSK5	14852	-1.6842437982559204	-0.004604289	No	
row_35	WNT11	14877	-1.6955275535583496	0.015716076	No	
row_36	PKD1	14998	-1.7620335817337036	0.031377565	No	
row_37	SALL1	16414	-2.8274128437042236	-0.013654206	No	
row_38	PKDCC	17334	-5.758305549621582	0.0072890995	No	
