NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTR10	2890	0.6451467871665955	-0.14465822	No	
row_1	HSBP1	4219	0.3538965880870819	-0.20925985	No	
row_2	SPAST	4825	0.24921198189258575	-0.23582453	No	
row_3	UXT	5396	0.16218434274196625	-0.26321757	No	
row_4	HIF1A	5470	0.15147387981414795	-0.26246834	No	
row_5	RHOT1	6378	0.036415379494428635	-0.31327713	No	
row_6	OPA1	11025	-0.5336979031562805	-0.56223065	No	
row_7	UBB	12638	-0.9032118320465088	-0.6252197	No	
row_8	LRPPRC	12935	-0.986102819442749	-0.6100673	No	
row_9	PKD1	14998	-1.7620335817337036	-0.6708783	Yes	
row_10	HDAC6	15047	-1.7969273328781128	-0.61509746	Yes	
row_11	NEFL	15718	-2.209873914718628	-0.58152246	Yes	
row_12	MAPT	16508	-2.9512646198272705	-0.53061944	Yes	
row_13	MAP1S	16572	-3.028407096862793	-0.4355847	Yes	
row_14	RHOT2	16585	-3.0484001636505127	-0.3369751	Yes	
row_15	MARK1	16658	-3.154869318008423	-0.23833698	Yes	
row_16	MYO19	16717	-3.254837989807129	-0.13563995	Yes	
row_17	SYBU	17311	-5.471706867218018	0.008599025	Yes	
