NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SAMD11	2	14.87276840209961	0.30485538	Yes	
row_1	SDK2	27	8.991244316101074	0.4878471	Yes	
row_2	RPGRIP1	120	5.44315767288208	0.59418523	Yes	
row_3	SOX9	202	4.180283069610596	0.6752586	Yes	
row_4	RPGRIP1L	796	1.9646893739700317	0.68154275	Yes	
row_5	MYO7A	806	1.9505285024642944	0.7210228	Yes	
row_6	RORB	1274	1.4213597774505615	0.72339064	Yes	
row_7	CEP290	1461	1.2800320386886597	0.7389729	Yes	
row_8	SOX8	1645	1.156642198562622	0.752197	Yes	
row_9	RP1	3377	0.5255001187324524	0.6637179	No	
row_10	RPGR	4890	0.23987922072410583	0.58193946	No	
row_11	PROM1	5962	0.0876200869679451	0.5223256	No	
row_12	DZANK1	7462	-0.02777472510933876	0.4369433	No	
row_13	AGTPBP1	8093	-0.10026776045560837	0.40287545	No	
row_14	POC5	8183	-0.11120084673166275	0.40005246	No	
row_15	STAT3	9665	-0.3102848529815674	0.3214952	No	
row_16	BBS4	10469	-0.4395184814929962	0.28446406	No	
row_17	VEGFA	10607	-0.46781161427497864	0.28620115	No	
row_18	NKD1	11175	-0.5628993511199951	0.2652321	No	
row_19	NRL	13238	-1.0805609226226807	0.16915533	No	
row_20	CRB2	13346	-1.110707402229309	0.18579537	No	
row_21	TULP1	16036	-2.443232774734497	0.081708714	No	
