NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFKFB2	2223	0.8684505820274353	-0.10833312	No	
row_1	G6PC3	8386	-0.1377151906490326	-0.45870128	No	
row_2	CRTC2	9692	-0.3147553503513336	-0.5266016	No	
row_3	PFKFB4	9694	-0.3151215612888336	-0.519706	No	
row_4	PPARGC1A	10102	-0.3760658800601959	-0.53475094	No	
row_5	PCK2	11493	-0.6218369603157043	-0.6007507	No	
row_6	SORD	12069	-0.756475567817688	-0.61703736	No	
row_7	PGK1	12984	-1.0003968477249146	-0.6473846	No	
row_8	ATF4	13769	-1.2337687015533447	-0.6651268	Yes	
row_9	PGAM2	13918	-1.2817673683166504	-0.64533377	Yes	
row_10	PER2	14185	-1.3786410093307495	-0.6301709	Yes	
row_11	PGAM1	14613	-1.5695666074752808	-0.6200291	Yes	
row_12	ENO1	15138	-1.8472778797149658	-0.609323	Yes	
row_13	PGM1	15292	-1.9430086612701416	-0.5752269	Yes	
row_14	PC	15412	-2.016923427581787	-0.53755	Yes	
row_15	CRY1	15471	-2.058720827102661	-0.49545223	Yes	
row_16	SLC37A4	15903	-2.3369486331939697	-0.46860817	Yes	
row_17	SLC39A14	15992	-2.4063806533813477	-0.42056018	Yes	
row_18	ENO3	16071	-2.4749321937561035	-0.37042612	Yes	
row_19	PFKFB3	16189	-2.5840096473693848	-0.3201221	Yes	
row_20	TPI1	16251	-2.6304209232330322	-0.2655823	Yes	
row_21	ENO2	16315	-2.699692726135254	-0.20962879	Yes	
row_22	RBP4	16317	-2.7019171714782715	-0.15007032	Yes	
row_23	AKR1B1	16580	-3.0398402214050293	-0.09802487	Yes	
row_24	SLC25A10	16726	-3.2685654163360596	-0.034222506	Yes	
row_25	GPI	16838	-3.4589552879333496	0.035730656	Yes	
