NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMARCD3	1575	1.2016412019729614	-0.07113842	No	
row_1	MARK4	2376	0.8122460246086121	-0.10403471	No	
row_2	STRADA	2734	0.6911199688911438	-0.113444306	No	
row_3	CREB1	3081	0.5966845154762268	-0.123736866	No	
row_4	ETV4	3138	0.5818918943405151	-0.117620066	No	
row_5	SMAD4	6431	0.030213844031095505	-0.3061029	No	
row_6	EZR	7253	-0.01153971441090107	-0.35304487	No	
row_7	GSK3B	7922	-0.08170662820339203	-0.39007914	No	
row_8	STRADB	8358	-0.134908065199852	-0.4128856	No	
row_9	YWHAB	8943	-0.20800024271011353	-0.44307283	No	
row_10	YWHAQ	9083	-0.2276696264743805	-0.44740075	No	
row_11	CAB39	9572	-0.2978661060333252	-0.4706363	No	
row_12	CRTC2	9692	-0.3147553503513336	-0.47241968	No	
row_13	STK26	9889	-0.3428959250450134	-0.47817174	No	
row_14	SIK1	10105	-0.3773151934146881	-0.48446247	No	
row_15	HSP90AA1	10146	-0.3839944005012512	-0.48060074	No	
row_16	YWHAZ	10254	-0.403103232383728	-0.48027855	No	
row_17	PRKACA	10405	-0.43001773953437805	-0.48199302	No	
row_18	TSC1	11912	-0.718979001045227	-0.55691075	No	
row_19	YWHAE	13271	-1.0902239084243774	-0.6173796	No	
row_20	YWHAG	13911	-1.2779920101165771	-0.6335654	Yes	
row_21	STK11IP	14215	-1.3889586925506592	-0.62868464	Yes	
row_22	SIK2	14320	-1.428434133529663	-0.61174786	Yes	
row_23	AKT1S1	14707	-1.6155914068222046	-0.6079972	Yes	
row_24	PSEN2	15241	-1.909287452697754	-0.60797477	Yes	
row_25	MLST8	15346	-1.9780985116958618	-0.5822235	Yes	
row_26	SIK3	15420	-2.019266128540039	-0.55403256	Yes	
row_27	MARK2	15824	-2.284010648727417	-0.5405388	Yes	
row_28	TP53	15890	-2.3284668922424316	-0.5069303	Yes	
row_29	YWHAH	15893	-2.329913854598999	-0.46968222	Yes	
row_30	STK11	16138	-2.5426831245422363	-0.44291344	Yes	
row_31	MTOR	16202	-2.5929017066955566	-0.40494958	Yes	
row_32	RPTOR	16262	-2.642946481704712	-0.3659536	Yes	
row_33	BRSK1	16346	-2.733689308166504	-0.3268801	Yes	
row_34	CTSD	16361	-2.7547898292541504	-0.28350747	Yes	
row_35	BRSK2	16381	-2.7801191806793213	-0.24001567	Yes	
row_36	MAPT	16508	-2.9512646198272705	-0.19992138	Yes	
row_37	CDC37	16644	-3.1373870372772217	-0.15735902	Yes	
row_38	TSC2	16716	-3.254625082015991	-0.10924288	Yes	
row_39	MAP2	17154	-4.40836238861084	-0.06363435	Yes	
row_40	MYC	17257	-5.0635199546813965	0.011710053	Yes	
