NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMP2	6291	0.04738425090909004	-0.35824117	No	
row_1	CAV1	6768	0.0	-0.38552538	No	
row_2	CAV2	6769	0.0	-0.38552538	No	
row_3	COLEC12	6787	0.0	-0.3864998	No	
row_4	S100A10	7050	0.0	-0.40151757	No	
row_5	PPT1	7762	-0.0625142902135849	-0.439162	No	
row_6	LRCH4	8332	-0.13142114877700806	-0.46523905	No	
row_7	CLN3	9203	-0.24284085631370544	-0.50302655	No	
row_8	YJEFN3	10033	-0.36679503321647644	-0.5322975	No	
row_9	FLOT1	14054	-1.3348027467727661	-0.69632	Yes	
row_10	ANXA2	14430	-1.4749401807785034	-0.64444053	Yes	
row_11	NPC1	15500	-2.072287082672119	-0.6026246	Yes	
row_12	ABCA7	15931	-2.358520030975342	-0.50994205	Yes	
row_13	RFTN1	16199	-2.591733932495117	-0.3963146	Yes	
row_14	PACSIN2	16241	-2.6266934871673584	-0.26799372	Yes	
row_15	CAV3	17398	-6.791651248931885	0.0036111204	Yes	
