NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MOCS2	1256	1.4328844547271729	-0.05411113	No	
row_1	LDHB	1905	1.007944941520691	-0.07864255	No	
row_2	XDH	2948	0.6322168707847595	-0.13054709	No	
row_3	ASS1	3100	0.5916423201560974	-0.13176781	No	
row_4	GLS2	3759	0.45168477296829224	-0.1638834	No	
row_5	AADAT	3911	0.4216592609882355	-0.16724612	No	
row_6	ALDH7A1	3955	0.4113406240940094	-0.16453339	No	
row_7	AASS	4094	0.37932780385017395	-0.16768257	No	
row_8	CDO1	4556	0.29028812050819397	-0.19051275	No	
row_9	PHGDH	6308	0.0454738475382328	-0.29054877	No	
row_10	SLC25A15	6337	0.041043080389499664	-0.2916404	No	
row_11	ETHE1	6380	0.03612188994884491	-0.29359844	No	
row_12	BTD	6480	0.02525309845805168	-0.29896858	No	
row_13	GPHN	7883	-0.07732359319925308	-0.37855038	No	
row_14	PSPH	8002	-0.0896437019109726	-0.3842008	No	
row_15	SLC2A3	9577	-0.2981970012187958	-0.47088212	No	
row_16	ACAT1	9711	-0.3180447816848755	-0.47451627	No	
row_17	ASL	10346	-0.42003998160362244	-0.50565165	No	
row_18	OTC	10575	-0.46011000871658325	-0.5129541	No	
row_19	AMT	10836	-0.4976837933063507	-0.52162176	No	
row_20	SFXN1	10962	-0.51919025182724	-0.52226156	No	
row_21	MPC2	11223	-0.5720147490501404	-0.5299925	No	
row_22	PSAT1	11405	-0.6078605651855469	-0.5327326	No	
row_23	DLD	11599	-0.6455389857292175	-0.5356874	No	
row_24	HK2	11624	-0.6512354612350464	-0.52886	No	
row_25	MPC1	12403	-0.8374193906784058	-0.56300974	No	
row_26	GPT	12680	-0.9166275262832642	-0.5673175	No	
row_27	SUOX	13167	-1.0544910430908203	-0.5819542	No	
row_28	CBS	13569	-1.173651099205017	-0.5902053	No	
row_29	PGAM2	13918	-1.2817673683166504	-0.5940488	Yes	
row_30	MOCS3	14138	-1.3646193742752075	-0.5894362	Yes	
row_31	GLDC	14201	-1.383131742477417	-0.57556933	Yes	
row_32	PFKM	14225	-1.3925367593765259	-0.5593431	Yes	
row_33	CTH	14429	-1.4744889736175537	-0.55242664	Yes	
row_34	PFKP	14583	-1.5568969249725342	-0.5415988	Yes	
row_35	PGAM1	14613	-1.5695666074752808	-0.52348655	Yes	
row_36	DLAT	14844	-1.6820151805877686	-0.5155063	Yes	
row_37	SLC7A2	14940	-1.7302895784378052	-0.49916098	Yes	
row_38	HLCS	14961	-1.742761254310608	-0.4783491	Yes	
row_39	GLUD1	15022	-1.7803242206573486	-0.4593622	Yes	
row_40	GCDH	15099	-1.821263074874878	-0.44077876	Yes	
row_41	ENO1	15138	-1.8472778797149658	-0.41968408	Yes	
row_42	PDHA1	15326	-1.9613041877746582	-0.40571377	Yes	
row_43	PC	15412	-2.016923427581787	-0.38518187	Yes	
row_44	SHMT1	15425	-2.0209224224090576	-0.36040515	Yes	
row_45	SLC25A5	15665	-2.176795721054077	-0.3467072	Yes	
row_46	GOT2	15756	-2.23236083984375	-0.3237478	Yes	
row_47	ECHS1	15772	-2.244267225265503	-0.29632902	Yes	
row_48	GCK	15880	-2.3218319416046143	-0.27321896	Yes	
row_49	DHTKD1	16001	-2.412137508392334	-0.24971789	Yes	
row_50	SLC2A4	16049	-2.4598822593688965	-0.22142074	Yes	
row_51	ENO3	16071	-2.4749321937561035	-0.19144003	Yes	
row_52	SLC25A1	16174	-2.5709619522094727	-0.16490331	Yes	
row_53	ENO2	16315	-2.699692726135254	-0.13892785	Yes	
row_54	MDH2	16615	-3.0883867740631104	-0.11719015	Yes	
row_55	PFKL	16688	-3.2073721885681152	-0.08091011	Yes	
row_56	SPCS1	16929	-3.651306390762329	-0.04868888	Yes	
row_57	MOCS1	17372	-6.2849955558776855	0.0051136888	Yes	
