NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFKFB2	2223	0.8684505820274353	-0.10885339	No	
row_1	G6PC3	8386	-0.1377151906490326	-0.45932317	No	
row_2	CRTC2	9692	-0.3147553503513336	-0.52741367	No	
row_3	PFKFB4	9694	-0.3151215612888336	-0.52070427	No	
row_4	PPARGC1A	10102	-0.3760658800601959	-0.5359726	No	
row_5	PCK2	11493	-0.6218369603157043	-0.6023442	No	
row_6	SORD	12069	-0.756475567817688	-0.6190796	No	
row_7	PGK1	12984	-1.0003968477249146	-0.6500208	No	
row_8	ATF4	13769	-1.2337687015533447	-0.66849434	Yes	
row_9	G6PD	13807	-1.24666166305542	-0.6438462	Yes	
row_10	PGAM2	13918	-1.2817673683166504	-0.6226312	Yes	
row_11	PER2	14185	-1.3786410093307495	-0.60828346	Yes	
row_12	PGAM1	14613	-1.5695666074752808	-0.5990702	Yes	
row_13	ENO1	15138	-1.8472778797149658	-0.589457	Yes	
row_14	PGM1	15292	-1.9430086612701416	-0.5565091	Yes	
row_15	PC	15412	-2.016923427581787	-0.5200238	Yes	
row_16	CRY1	15471	-2.058720827102661	-0.4791423	Yes	
row_17	SLC37A4	15903	-2.3369486331939697	-0.45368	Yes	
row_18	SLC39A14	15992	-2.4063806533813477	-0.40705368	Yes	
row_19	ENO3	16071	-2.4749321937561035	-0.35838175	Yes	
row_20	PFKFB3	16189	-2.5840096473693848	-0.3096044	Yes	
row_21	TPI1	16251	-2.6304209232330322	-0.25661853	Yes	
row_22	ENO2	16315	-2.699692726135254	-0.20225982	Yes	
row_23	RBP4	16317	-2.7019171714782715	-0.1442973	Yes	
row_24	AKR1B1	16580	-3.0398402214050293	-0.09404824	Yes	
row_25	SLC25A10	16726	-3.2685654163360596	-0.032176986	Yes	
row_26	GPI	16838	-3.4589552879333496	0.035732716	Yes	
