NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN2	39	8.124171257019043	0.1498785	Yes	
row_1	BMP7	102	5.718123435974121	0.2533862	Yes	
row_2	BMPR1A	163	4.7899322509765625	0.33962923	Yes	
row_3	FZD1	191	4.362239360809326	0.4197581	Yes	
row_4	PRKD1	337	3.1959609985351562	0.47127736	Yes	
row_5	SCUBE3	389	2.925844430923462	0.5231338	Yes	
row_6	BMPR2	663	2.1681101322174072	0.54806143	Yes	
row_7	TMEM119	833	1.902279257774353	0.5739804	Yes	
row_8	RUNX2	852	1.8761075735092163	0.6080755	Yes	
row_9	MEF2C	978	1.735961675643921	0.6334056	Yes	
row_10	GDF10	979	1.7316840887069702	0.6658296	Yes	
row_11	DDR2	1416	1.3138331174850464	0.6654068	Yes	
row_12	WWTR1	1441	1.2986987829208374	0.6883462	Yes	
row_13	FERMT2	2391	0.8072148561477661	0.6489954	No	
row_14	IL6ST	2746	0.6882649660110474	0.6415657	No	
row_15	YAP1	3614	0.4715816378593445	0.6006366	No	
row_16	BMPR1B	3627	0.46869567036628723	0.6087237	No	
row_17	ACVR2A	3720	0.457141637802124	0.61200315	No	
row_18	CTNNBIP1	3967	0.4076630175113678	0.60551775	No	
row_19	SUCO	4146	0.37015947699546814	0.6022328	No	
row_20	ACVR1	5402	0.16146284341812134	0.533229	No	
row_21	NELL1	6220	0.05515576899051666	0.48737237	No	
row_22	ATRAID	6369	0.03755887970328331	0.4795816	No	
row_23	FBXO5	6432	0.030114056542515755	0.47658712	No	
row_24	PRMT3	7278	-0.013357611373066902	0.4283409	No	
row_25	SOX11	8112	-0.10279882699251175	0.3824581	No	
row_26	WNT3	8736	-0.18238678574562073	0.3501178	No	
row_27	NPNT	9184	-0.23920504748821259	0.32894242	No	
row_28	FFAR4	9186	-0.2396778166294098	0.33337274	No	
row_29	ACVR2B	10885	-0.5059748888015747	0.24539481	No	
row_30	SMAD5	11192	-0.5657631754875183	0.23842616	No	
row_31	PPP3CA	11369	-0.5988538861274719	0.23953809	No	
row_32	LRP5	11388	-0.6051231026649475	0.24983534	No	
row_33	BMP4	11508	-0.6242813467979431	0.2546947	No	
row_34	IGF1	11750	-0.6800886988639832	0.25359717	No	
row_35	ZHX3	13614	-1.1869373321533203	0.16889988	No	
row_36	BMP6	13999	-1.3132290840148926	0.17145018	No	
row_37	LRP3	14383	-1.4518229961395264	0.17665291	No	
