NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKM	94	5.858980178833008	0.0387933	No	
row_1	IDH1	1055	1.643057942390442	-0.004046909	No	
row_2	SLC25A12	1469	1.2747474908828735	-0.018192798	No	
row_3	HKDC1	1932	0.9952760934829712	-0.03726643	No	
row_4	NUDT12	2157	0.9003292918205261	-0.04336247	No	
row_5	PFKFB2	2223	0.8684505820274353	-0.04055056	No	
row_6	NMRK1	2556	0.7504144906997681	-0.053991634	No	
row_7	VCP	2558	0.7496533989906311	-0.048393574	No	
row_8	UCP2	2623	0.7308377623558044	-0.04656232	No	
row_9	ENO4	3322	0.5377689599990845	-0.082666345	No	
row_10	SLC25A18	4021	0.393404096364975	-0.119859494	No	
row_11	NADK2	4330	0.3307532072067261	-0.13508572	No	
row_12	H6PD	4359	0.32628366351127625	-0.13423519	No	
row_13	RPE	4472	0.30469146370887756	-0.13838069	No	
row_14	GPD2	4757	0.2584366500377655	-0.1527716	No	
row_15	HK1	4820	0.24992235004901886	-0.15445343	No	
row_16	QPRT	6550	0.018475759774446487	-0.25379622	No	
row_17	NMNAT1	6600	0.012932146899402142	-0.25651798	No	
row_18	ME1	6915	0.0	-0.2745847	No	
row_19	IDH2	8451	-0.14687064290046692	-0.3617966	No	
row_20	NUDT17	9334	-0.261853963136673	-0.41056907	No	
row_21	RBKS	9378	-0.2694375813007355	-0.41101047	No	
row_22	PFKFB4	9694	-0.3151215612888336	-0.4267574	No	
row_23	ADPGK	10482	-0.44231685996055603	-0.46870238	No	
row_24	ALDH1L2	10569	-0.4588608145713806	-0.4701888	No	
row_25	SLC25A13	11048	-0.5387753248214722	-0.493627	No	
row_26	DERA	11076	-0.5439804196357727	-0.49107656	No	
row_27	PSAT1	11405	-0.6078605651855469	-0.505363	No	
row_28	HK2	11624	-0.6512354612350464	-0.51299304	No	
row_29	NAPRT	11899	-0.7171552181243896	-0.52334785	No	
row_30	MDH1	11952	-0.7281802892684937	-0.5208462	No	
row_31	NNT	12501	-0.8630476593971252	-0.5458656	No	
row_32	PGD	12672	-0.9135990738868713	-0.5487545	No	
row_33	NMNAT2	12733	-0.9324023127555847	-0.54517245	No	
row_34	SLC25A51	12919	-0.9803886413574219	-0.54842055	No	
row_35	PGK1	12984	-1.0003968477249146	-0.54455566	No	
row_36	NADK	13022	-1.010876178741455	-0.5390582	No	
row_37	PDXP	13114	-1.035218596458435	-0.5364841	No	
row_38	PDXK	13446	-1.1424205303192139	-0.5469102	No	
row_39	G6PD	13807	-1.24666166305542	-0.55821854	Yes	
row_40	PGAM2	13918	-1.2817673683166504	-0.55487764	Yes	
row_41	LDHA	14022	-1.3223135471343994	-0.5508281	Yes	
row_42	PFKM	14225	-1.3925367593765259	-0.5519449	Yes	
row_43	NNMT	14226	-1.3928319215774536	-0.54143703	Yes	
row_44	NADSYN1	14251	-1.4007569551467896	-0.5322502	Yes	
row_45	PNPO	14397	-1.4601718187332153	-0.5295772	Yes	
row_46	PFKP	14583	-1.5568969249725342	-0.52847594	Yes	
row_47	PGAM1	14613	-1.5695666074752808	-0.5183033	Yes	
row_48	PARP9	14781	-1.646456003189087	-0.51549065	Yes	
row_49	NMNAT3	14795	-1.652741551399231	-0.5037699	Yes	
row_50	GAPDH	14797	-1.6561731100082397	-0.4913328	Yes	
row_51	NAMPT	14928	-1.724048376083374	-0.48580596	Yes	
row_52	ENO1	15138	-1.8472778797149658	-0.48389488	Yes	
row_53	FOXK1	15159	-1.8564059734344482	-0.47104037	Yes	
row_54	PGLS	15224	-1.8965855836868286	-0.46041438	Yes	
row_55	PGM1	15292	-1.9430086612701416	-0.44961077	Yes	
row_56	TALDO1	15311	-1.9519249200820923	-0.43592057	Yes	
row_57	SARM1	15365	-1.9890666007995605	-0.42396396	Yes	
row_58	PC	15412	-2.016923427581787	-0.41139445	Yes	
row_59	PARP10	15436	-2.030036687850952	-0.3974026	Yes	
row_60	NMRK2	15516	-2.082731008529663	-0.38623536	Yes	
row_61	GOT2	15756	-2.23236083984375	-0.38314524	Yes	
row_62	GOT1	15848	-2.2997257709503174	-0.37103134	Yes	
row_63	SHPK	15854	-2.3079614639282227	-0.35390714	Yes	
row_64	GCK	15880	-2.3218319416046143	-0.337829	Yes	
row_65	TKT	16044	-2.4529566764831543	-0.3287018	Yes	
row_66	ENO3	16071	-2.4749321937561035	-0.31152618	Yes	
row_67	PARP16	16103	-2.5115110874176025	-0.29436228	Yes	
row_68	PFKFB3	16189	-2.5840096473693848	-0.27975845	Yes	
row_69	TPI1	16251	-2.6304209232330322	-0.2634236	Yes	
row_70	ENO2	16315	-2.699692726135254	-0.2466812	Yes	
row_71	FOXK2	16351	-2.7398948669433594	-0.22802447	Yes	
row_72	RPIA	16362	-2.7561886310577393	-0.20780636	Yes	
row_73	PNP	16510	-2.9576821327209473	-0.19395077	Yes	
row_74	SLC25A11	16545	-3.006181240081787	-0.17322755	Yes	
row_75	MDH2	16615	-3.0883867740631104	-0.15389797	Yes	
row_76	PFKL	16688	-3.2073721885681152	-0.13384333	Yes	
row_77	GPI	16838	-3.4589552879333496	-0.11632106	Yes	
row_78	ALDOA	16880	-3.542860507965088	-0.09195174	Yes	
row_79	GPD1L	17053	-4.057468414306641	-0.07123748	Yes	
row_80	SLC25A22	17229	-4.873876094818115	-0.04453662	Yes	
row_81	ALDOC	17429	-7.665093421936035	0.0018410818	Yes	
