NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DOCK1	1039	1.6669243574142456	-0.03490087	No	
row_1	VAV3	2836	0.6613541841506958	-0.12822948	No	
row_2	IGLC2	3209	0.5637711882591248	-0.14121652	No	
row_3	WIPF3	3436	0.5129550695419312	-0.1465729	No	
row_4	ARPC3	4511	0.2970220744609833	-0.20384659	No	
row_5	CDC42	4780	0.2544778287410736	-0.21545744	No	
row_6	ARPC5	5021	0.21649456024169922	-0.2260246	No	
row_7	NCKAP1	5270	0.17972178757190704	-0.23759787	No	
row_8	WASF1	5903	0.09456732124090195	-0.27249318	No	
row_9	ELMO1	6244	0.05187935382127762	-0.29125103	No	
row_10	WAS	6468	0.025860998779535294	-0.30367538	No	
row_11	VAV2	6532	0.02037040889263153	-0.3069912	No	
row_12	ABI2	7513	-0.03364717587828636	-0.36278054	No	
row_13	MAPK1	7785	-0.06480362266302109	-0.37738305	No	
row_14	PTK2	7981	-0.08762301504611969	-0.38728106	No	
row_15	ACTR3	8110	-0.10253476351499557	-0.39310908	No	
row_16	ABI1	8209	-0.1155824139714241	-0.39701998	No	
row_17	ACTR2	8524	-0.15544894337654114	-0.41274497	No	
row_18	HSP90AA1	10146	-0.3839944005012512	-0.5001446	No	
row_19	SYK	10236	-0.3994889259338379	-0.49931854	No	
row_20	BRK1	10257	-0.4035659730434418	-0.49446863	No	
row_21	NCK1	11321	-0.5898457169532776	-0.54675794	No	
row_22	WIPF2	11976	-0.7338995337486267	-0.5734137	No	
row_23	ARPC2	12098	-0.7624943256378174	-0.56902987	No	
row_24	MYH2	12139	-0.7728947401046753	-0.55983895	No	
row_25	CRK	12722	-0.9303401708602905	-0.5794393	No	
row_26	WASL	12848	-0.9633469581604004	-0.57229966	No	
row_27	PAK1	13581	-1.177894115447998	-0.59683603	Yes	
row_28	ARPC4	13585	-1.1789460182189941	-0.5794843	Yes	
row_29	ABL1	13743	-1.2258830070495605	-0.5702803	Yes	
row_30	ELMO2	13749	-1.2280073165893555	-0.5523142	Yes	
row_31	ARPC1A	13921	-1.2827812433242798	-0.54306865	Yes	
row_32	HSP90AB1	14173	-1.376870036125183	-0.5370196	Yes	
row_33	RAC1	14403	-1.4625471830368042	-0.5284334	Yes	
row_34	CYFIP1	14413	-1.4682964086532593	-0.5071253	Yes	
row_35	MAPK3	14645	-1.5854088068008423	-0.49682772	Yes	
row_36	CYFIP2	15233	-1.9042167663574219	-0.50223935	Yes	
row_37	WASF2	15257	-1.9214112758636475	-0.4750002	Yes	
row_38	ARPC1B	15405	-2.012662172317505	-0.45352703	Yes	
row_39	LIMK1	15644	-2.1633143424987793	-0.43504143	Yes	
row_40	MYO10	15833	-2.288482666015625	-0.4118234	Yes	
row_41	ACTG1	16018	-2.4335198402404785	-0.38621974	Yes	
row_42	MYO9B	16105	-2.5124199390411377	-0.35381433	Yes	
row_43	MYH9	16270	-2.6481237411499023	-0.323872	Yes	
row_44	NF2	16441	-2.8597047328948975	-0.29112932	Yes	
row_45	MYO5A	16482	-2.918673276901245	-0.25004315	Yes	
row_46	CFL1	16582	-3.0461883544921875	-0.21045043	Yes	
row_47	MYO1C	16642	-3.135044574737549	-0.1672394	Yes	
row_48	WIPF1	16690	-3.2123825550079346	-0.12218953	Yes	
row_49	NCKIPSD	16783	-3.3557870388031006	-0.077592805	Yes	
row_50	ACTB	16901	-3.585408926010132	-0.031018894	Yes	
row_51	BAIAP2	17116	-4.2469072341918945	0.019816145	Yes	
