NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJC24	1783	1.0749876499176025	-0.07695029	No	
row_1	SSBP1	2818	0.6678279638290405	-0.12052961	No	
row_2	TNNI3	2828	0.664857804775238	-0.105392426	No	
row_3	VMP1	4656	0.2740936577320099	-0.2037224	No	
row_4	VCPKMT	5266	0.18079453706741333	-0.23439354	No	
row_5	SETMAR	5577	0.13623355329036713	-0.24896537	No	
row_6	DNAJB11	6666	0.005948981735855341	-0.31122494	No	
row_7	PLSCR1	6961	0.0	-0.3280866	No	
row_8	CHTOP	7393	-0.021764962002635002	-0.35229313	No	
row_9	UBLCP1	8554	-0.15949808061122894	-0.41506696	No	
row_10	TOR1AIP1	9949	-0.3522922992706299	-0.48672214	No	
row_11	PAM16	10507	-0.4484401345252991	-0.5081095	No	
row_12	DNAJC9	10755	-0.4870488941669464	-0.5108086	No	
row_13	TOR1AIP2	10983	-0.5240991115570068	-0.51148826	No	
row_14	GABARAPL2	11558	-0.6332041621208191	-0.5295006	No	
row_15	TSC1	11912	-0.718979001045227	-0.5328185	No	
row_16	HNRNPU	12028	-0.7459075450897217	-0.52185243	No	
row_17	DNAJB2	14357	-1.442592978477478	-0.62140507	No	
row_18	AHSA1	15597	-2.1352620124816895	-0.64219254	Yes	
row_19	TP53	15890	-2.3284668922424316	-0.6041183	Yes	
row_20	PPIF	16139	-2.5430567264556885	-0.5584682	Yes	
row_21	OXA1L	16280	-2.660015344619751	-0.5038705	Yes	
row_22	ATP2A1	17092	-4.158735752105713	-0.45247054	Yes	
row_23	TNNT3	17142	-4.351704120635986	-0.35282472	Yes	
row_24	TPM2	17348	-5.92034912109375	-0.22519387	Yes	
row_25	TNNT2	17456	-9.837677001953125	2.8673056E-4	Yes	
