NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPHK1	476	2.6038615703582764	-0.007621284	No	
row_1	AXL	681	2.1360082626342773	-0.0031340923	No	
row_2	USP27X	1950	0.9882966876029968	-0.06864677	No	
row_3	XIAP	1964	0.9835055470466614	-0.061919898	No	
row_4	ADAM10	2015	0.9619929194450378	-0.057487383	No	
row_5	PPARG	2509	0.7694873213768005	-0.08003064	No	
row_6	USP25	3306	0.54063481092453	-0.12176329	No	
row_7	CSF1	3340	0.5341973304748535	-0.11960338	No	
row_8	ADAM17	3533	0.48636165261268616	-0.12696394	No	
row_9	TAX1BP1	3571	0.47666096687316895	-0.12547173	No	
row_10	NAIP	3693	0.46283861994743347	-0.12892216	No	
row_11	PADI2	3770	0.45168477296829224	-0.12986581	No	
row_12	SLIT3	3805	0.44687095284461975	-0.12842725	No	
row_13	ZNF675	4067	0.3850099742412567	-0.14053193	No	
row_14	DICER1	4494	0.3008820712566376	-0.16277847	No	
row_15	YTHDF3	4646	0.2751498222351074	-0.16938321	No	
row_16	HIF1A	5470	0.15147387981414795	-0.21562879	No	
row_17	TNFAIP3	5529	0.14376144111156464	-0.21787632	No	
row_18	PPP2CB	5722	0.11753560602664948	-0.2280403	No	
row_19	CARD8	5849	0.10007242858409882	-0.23453605	No	
row_20	CNOT7	6051	0.07392137497663498	-0.24554984	No	
row_21	STAT2	6202	0.056285373866558075	-0.25376058	No	
row_22	ULK1	6214	0.05539192259311676	-0.25397307	No	
row_23	VRK2	7085	0.0	-0.3040767	No	
row_24	SPPL2A	7111	-8.01736256107688E-4	-0.30551037	No	
row_25	FADD	7167	-0.004822996445000172	-0.3086412	No	
row_26	EZR	7253	-0.01153971441090107	-0.31344867	No	
row_27	TSLP	7282	-0.01352311298251152	-0.31495842	No	
row_28	TRIM6	7318	-0.015599071979522705	-0.31685552	No	
row_29	USP18	7629	-0.04671687260270119	-0.33435345	No	
row_30	UBE2K	7986	-0.08805869519710541	-0.3541863	No	
row_31	OTUD4	8213	-0.11635866016149521	-0.3663173	No	
row_32	GPS2	8282	-0.1255086213350296	-0.36927947	No	
row_33	SLIT2	8343	-0.1333504468202591	-0.37172133	No	
row_34	OAS3	8436	-0.1445227414369583	-0.37592113	No	
row_35	AGPAT2	8694	-0.1758679300546646	-0.3893851	No	
row_36	NR1H3	8859	-0.19648921489715576	-0.39733642	No	
row_37	IRAK3	9472	-0.2822209894657135	-0.43043664	No	
row_38	TRAIP	10072	-0.37198731303215027	-0.46210584	No	
row_39	TRIM41	10078	-0.3724380433559418	-0.45956293	No	
row_40	SAMHD1	10198	-0.3919488191604614	-0.463437	No	
row_41	SYK	10236	-0.3994889259338379	-0.46253136	No	
row_42	ANXA4	10296	-0.4105706512928009	-0.4628085	No	
row_43	SH2B3	10433	-0.43300193548202515	-0.46734956	No	
row_44	EIF4E2	10557	-0.45699113607406616	-0.47095963	No	
