NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP1	2238	0.8630326986312866	-0.10398466	No	
row_1	SNX9	3205	0.5642154812812805	-0.14346793	No	
row_2	SH3D19	3882	0.4285176992416382	-0.17014918	No	
row_3	ADAM8	5004	0.2189110368490219	-0.22824524	No	
row_4	TSPAN17	7855	-0.07325772941112518	-0.38956153	No	
row_5	ADAM9	8540	-0.15758797526359558	-0.42433348	No	
row_6	ROCK1	12859	-0.9654237627983093	-0.6446725	No	
row_7	GPLD1	13275	-1.0907052755355835	-0.63773775	No	
row_8	SNX33	15389	-2.006934404373169	-0.702333	Yes	
row_9	TSPAN5	15595	-2.1348650455474854	-0.6539458	Yes	
row_10	PTPN3	15647	-2.1645097732543945	-0.59589523	Yes	
row_11	PACSIN3	15738	-2.2235400676727295	-0.5384175	Yes	
row_12	ADRA2A	16082	-2.4830386638641357	-0.48813334	Yes	
row_13	TIMP2	16409	-2.8214406967163086	-0.42734182	Yes	
row_14	APOE	16748	-3.301116704940796	-0.35372576	Yes	
row_15	TSPAN15	16749	-3.305759906768799	-0.2606026	Yes	
row_16	FURIN	16780	-3.3531546592712402	-0.16786411	Yes	
row_17	TIMP3	17422	-7.3427839279174805	0.0022357425	Yes	
