NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.1045389	Yes	
row_1	NOG	9	12.56974983215332	0.19209243	Yes	
row_2	BAMBI	12	11.032910346984863	0.26923004	Yes	
row_3	FGFR2	19	10.081090927124023	0.33947298	Yes	
row_4	DLK1	22	9.547170639038086	0.4062074	Yes	
row_5	FBN2	39	8.124171257019043	0.46217287	Yes	
row_6	BMP7	102	5.718123435974121	0.49864578	Yes	
row_7	BMPR1A	163	4.7899322509765625	0.5287345	Yes	
row_8	FZD1	191	4.362239360809326	0.55772626	Yes	
row_9	SOX9	202	4.180283069610596	0.5864216	Yes	
row_10	REST	251	3.7940521240234375	0.6102273	Yes	
row_11	PRKD1	337	3.1959609985351562	0.6277173	Yes	
row_12	SCUBE3	389	2.925844430923462	0.64527124	Yes	
row_13	PTCH1	399	2.8837342262268066	0.6649456	Yes	
row_14	BMPR2	663	2.1681101322174072	0.6650022	Yes	
row_15	TMEM119	833	1.902279257774353	0.66860324	Yes	
row_16	RUNX2	852	1.8761075735092163	0.68070465	Yes	
row_17	MEF2C	978	1.735961675643921	0.68567145	Yes	
row_18	GDF10	979	1.7316840887069702	0.6977967	Yes	
row_19	RORB	1274	1.4213597774505615	0.69084185	Yes	
row_20	SMOC1	1328	1.3663873672485352	0.6973614	Yes	
row_21	DDR2	1416	1.3138331174850464	0.70155776	Yes	
row_22	WWTR1	1441	1.2986987829208374	0.7092711	Yes	
row_23	FERMT2	2391	0.8072148561477661	0.6603485	No	
row_24	SNAI2	2492	0.7769097685813904	0.66003764	No	
row_25	PPARG	2509	0.7694873213768005	0.6645055	No	
row_26	TRPM4	2589	0.7404190301895142	0.6651468	No	
row_27	IL6ST	2746	0.6882649660110474	0.6609949	No	
row_28	YAP1	3614	0.4715816378593445	0.61443776	No	
row_29	BMPR1B	3627	0.46869567036628723	0.6170295	No	
row_30	HDAC7	3708	0.4596586525440216	0.61564744	No	
row_31	ACVR2A	3720	0.457141637802124	0.61821574	No	
row_32	CTNNBIP1	3967	0.4076630175113678	0.60692334	No	
row_33	SUCO	4146	0.37015947699546814	0.59927887	No	
row_34	ACVR1	5402	0.16146284341812134	0.52823734	No	
row_35	PTEN	5420	0.1591198742389679	0.5283739	No	
row_36	NELL1	6220	0.05515576899051666	0.4828115	No	
row_37	NBR1	6298	0.046558838337659836	0.47870943	No	
row_38	ATRAID	6369	0.03755887970328331	0.4749469	No	
row_39	FBXO5	6432	0.030114056542515755	0.47159228	No	
row_40	SUFU	6540	0.0191967710852623	0.46557337	No	
row_41	PRMT3	7278	-0.013357611373066902	0.4232838	No	
row_42	SEMA4D	7431	-0.02564271353185177	0.41472217	No	
row_43	SKI	7854	-0.07319793105125427	0.3909665	No	
row_44	GSK3B	7922	-0.08170662820339203	0.3876856	No	
row_45	PTK2	7981	-0.08762301504611969	0.3849637	No	
row_46	DDX5	8104	-0.1018601804971695	0.37866098	No	
row_47	SOX11	8112	-0.10279882699251175	0.37897822	No	
row_48	WNT3	8736	-0.18238678574562073	0.34442806	No	
row_49	IPO7	8818	-0.19221259653568268	0.34111583	No	
row_50	NPNT	9184	-0.23920504748821259	0.32180047	No	
row_51	FFAR4	9186	-0.2396778166294098	0.32342118	No	
row_52	GREM1	9644	-0.30739083886146545	0.29929256	No	
row_53	CITED1	9697	-0.3153088092803955	0.29850996	No	
row_54	TMEM64	9829	-0.33373942971229553	0.2933133	No	
row_55	PRKACA	10405	-0.43001773953437805	0.2632574	No	
row_56	LIMD1	10627	-0.47251030802726746	0.25385675	No	
row_57	ACVR2B	10885	-0.5059748888015747	0.24262014	No	
row_58	SMAD5	11192	-0.5657631754875183	0.2289843	No	
row_59	PPP3CA	11369	-0.5988538861274719	0.22305614	No	
row_60	LRP5	11388	-0.6051231026649475	0.22625808	No	
row_61	BMP4	11508	-0.6242813467979431	0.2237859	No	
row_62	IGF1	11750	-0.6800886988639832	0.21468857	No	
row_63	NOTCH1	12454	-0.850441575050354	0.18021552	No	
row_64	ZHX3	13614	-1.1869373321533203	0.12187514	No	
row_65	ATF4	13769	-1.2337687015533447	0.12165783	No	
row_66	BMP6	13999	-1.3132290840148926	0.11768384	No	
row_67	CRIM1	14312	-1.4254214763641357	0.109722294	No	
row_68	LRP3	14383	-1.4518229961395264	0.115862444	No	
row_69	CHRD	14439	-1.4809547662734985	0.1230692	No	
row_70	TMEM53	15771	-2.2440528869628906	0.062239453	No	
row_71	MEN1	16042	-2.4519565105438232	0.06388104	No	
row_72	CDK6	16120	-2.5227954387664795	0.07711761	No	
