NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.131313	Yes	
row_1	SMAD9	8	12.791363716125488	0.24341567	Yes	
row_2	NOG	9	12.56974983215332	0.35397094	Yes	
row_3	BAMBI	12	11.032910346984863	0.45089442	Yes	
row_4	SKIL	54	7.298767566680908	0.51273626	Yes	
row_5	LTBP1	63	6.930098533630371	0.5732297	Yes	
row_6	ENG	107	5.631518840789795	0.62029266	Yes	
row_7	FBN1	239	3.85809326171875	0.6467067	Yes	
row_8	TGFBR1	715	2.0948495864868164	0.6378673	No	
row_9	RUNX2	852	1.8761075735092163	0.64656204	No	
row_10	SMAD1	1397	1.331432819366455	0.6270476	No	
row_11	LEFTY2	1589	1.1953545808792114	0.626598	No	
row_12	MAPK9	1782	1.0759072303771973	0.6250404	No	
row_13	FOS	2790	0.6740681529045105	0.5731686	No	
row_14	CREBBP	2811	0.67002272605896	0.5779137	No	
row_15	LEF1	3605	0.4715816378593445	0.53654426	No	
row_16	ZNF423	5328	0.17103895545005798	0.43920806	No	
row_17	CTNNB1	5440	0.15627558529376984	0.4342113	No	
row_18	LIF	5611	0.1309477984905243	0.42560527	No	
row_19	EP300	5766	0.11184261739253998	0.41774955	No	
row_20	SMAD4	6431	0.030213844031095505	0.37990257	No	
row_21	STAT1	6475	0.025643831118941307	0.37765998	No	
row_22	SKI	7854	-0.07319793105125427	0.29920837	No	
row_23	STAT3	9665	-0.3102848529815674	0.1980458	No	
row_24	ZFYVE9	9907	-0.34495049715042114	0.18724668	No	
row_25	EGF	9985	-0.35809317231178284	0.18597654	No	
row_26	SMAD2	10652	-0.4768698215484619	0.15194324	No	
row_27	THBS1	10943	-0.515469491481781	0.13983135	No	
row_28	BMP4	11508	-0.6242813467979431	0.11294926	No	
row_29	FKBP1A	13157	-1.0499390363693237	0.027590793	No	
row_30	NFKB1	13497	-1.1544150114059448	0.018286115	No	
row_31	ZEB2	14140	-1.365154504776001	-0.0065568397	No	
row_32	TGFB1	14341	-1.4374161958694458	-0.005394006	No	
row_33	MAPK3	14645	-1.5854088068008423	-0.008841591	No	
row_34	JAK1	15175	-1.8659570217132568	-0.022793762	No	
row_35	HRAS	16571	-3.027980327606201	-0.076232806	No	
row_36	TGFBR3	16887	-3.558119297027588	-0.06301851	No	
row_37	TGIF1	16889	-3.5693325996398926	-0.03168239	No	
row_38	JUN	16919	-3.630941152572632	-0.0014115705	No	
row_39	ADAMTSL2	16948	-3.6910924911499023	0.0294457	No	
