NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD6	0	14.929827690124512	0.07696719	Yes	
row_1	ID1	4	14.13477611541748	0.14966291	Yes	
row_2	SMAD9	8	12.791363716125488	0.21543299	Yes	
row_3	NOG	9	12.56974983215332	0.28023335	Yes	
row_4	BAMBI	12	11.032910346984863	0.33699575	Yes	
row_5	SMAD7	34	8.65633487701416	0.3804121	Yes	
row_6	INHBB	50	7.498291015625	0.41820395	Yes	
row_7	BMP7	102	5.718123435974121	0.44474542	Yes	
row_8	ENG	107	5.631518840789795	0.47354704	Yes	
row_9	LTBP2	132	5.2289042472839355	0.49912134	Yes	
row_10	BMPR1A	163	4.7899322509765625	0.5220871	Yes	
row_11	DLX5	230	3.926420211791992	0.538528	Yes	
row_12	WFIKKN2	298	3.4287450313568115	0.5523458	Yes	
row_13	NLK	522	2.4550726413726807	0.55216044	Yes	
row_14	BMPR2	663	2.1681101322174072	0.5552754	Yes	
row_15	TGFBR1	715	2.0948495864868164	0.56313795	Yes	
row_16	TMEM119	833	1.902279257774353	0.566207	Yes	
row_17	RUNX2	852	1.8761075735092163	0.5748423	Yes	
row_18	GDF10	979	1.7316840887069702	0.5765136	Yes	
row_19	SMAD1	1397	1.331432819366455	0.55936366	No	
row_20	MSTN	1400	1.3296691179275513	0.5661033	No	
row_21	COL3A1	1457	1.281754493713379	0.5694862	No	
row_22	LEFTY2	1589	1.1953545808792114	0.5681046	No	
row_23	SMAD3	1659	1.1513134241104126	0.57006645	No	
row_24	SRC	1913	1.0043503046035767	0.5606746	No	
row_25	GDF9	2205	0.8807218074798584	0.5484571	No	
row_26	FERMT2	2391	0.8072148561477661	0.5419649	No	
row_27	TGFB3	2501	0.7720688581466675	0.53966814	No	
row_28	PPARG	2509	0.7694873213768005	0.5432319	No	
row_29	CDKN2B	2660	0.7163339257240295	0.53828675	No	
row_30	FOS	2790	0.6740681529045105	0.534333	No	
row_31	CLDN5	3120	0.5850782990455627	0.5184031	No	
row_32	USP9X	3183	0.5695385932922363	0.5177688	No	
row_33	BMPR1B	3627	0.46869567036628723	0.49467397	No	
row_34	FNTA	3691	0.4631960391998291	0.4934339	No	
row_35	ACVR2A	3720	0.457141637802124	0.49417812	No	
row_36	DAB2	3757	0.45168477296829224	0.49443355	No	
row_37	SIRT1	3998	0.3979923129081726	0.4826644	No	
row_38	APPL2	4019	0.39368563890457153	0.4835422	No	
row_39	HIVEP1	4600	0.282164990901947	0.45159632	No	
row_40	ACVR1	5402	0.16146284341812134	0.40630144	No	
row_41	USP15	5751	0.11359358578920364	0.38684672	No	
row_42	BMP2	6003	0.08205486834049225	0.37281537	No	
row_43	WFIKKN1	6339	0.04077726602554321	0.35373393	No	
row_44	SMAD4	6431	0.030213844031095505	0.34864926	No	
row_45	GDF11	7142	-0.002670914400368929	0.30777618	No	
row_46	USP9Y	7145	-0.0027793848421424627	0.30767533	No	
row_47	MAP3K7	7620	-0.04595153033733368	0.28061593	No	
row_48	SKI	7854	-0.07319793105125427	0.2675755	No	
row_49	CITED2	7941	-0.08308633416891098	0.26305133	No	
row_50	GCNT2	7966	-0.08605612814426422	0.2621129	No	
row_51	PTK2	7981	-0.08762301504611969	0.2617584	No	
row_52	DDX5	8104	-0.1018601804971695	0.25525787	No	
row_53	TGFB2	8292	-0.1267726570367813	0.24514264	No	
row_54	ACVR1C	8475	-0.14946846663951874	0.23543234	No	
row_55	ADAM9	8540	-0.15758797526359558	0.23255917	No	
row_56	PDCD4	8575	-0.1625370979309082	0.23143913	No	
row_57	ZMIZ1	9029	-0.2205541729927063	0.20648919	No	
row_58	APPL1	9195	-0.24084477126598358	0.19822894	No	
row_59	MEGF8	9199	-0.24141168594360352	0.1993007	No	
row_60	STAT3	9665	-0.3102848529815674	0.1741223	No	
row_61	CITED1	9697	-0.3153088092803955	0.17396261	No	
row_62	ITGB5	9757	-0.3226446807384491	0.17222829	No	
row_63	LPXN	9763	-0.32340991497039795	0.17360762	No	
row_64	ZFYVE9	9907	-0.34495049715042114	0.16715097	No	
row_65	BMP8B	10355	-0.42085593938827515	0.14357916	No	
row_66	SMAD2	10652	-0.4768698215484619	0.12899177	No	
row_67	CDH5	10671	-0.4798104166984558	0.13042875	No	
row_68	ACVR2B	10885	-0.5059748888015747	0.12077113	No	
row_69	TGFBRAP1	11091	-0.5469213128089905	0.1117853	No	
row_70	SMAD5	11192	-0.5657631754875183	0.10894325	No	
row_71	BMP4	11508	-0.6242813467979431	0.09402164	No	
row_72	ZYX	11760	-0.6826786994934082	0.08308667	No	
row_73	EID2	11824	-0.6987549066543579	0.08306094	No	
row_74	SLC39A5	12629	-0.9011688828468323	0.041406676	No	
row_75	RGMB	13149	-1.0463104248046875	0.016912976	No	
row_76	TSKU	13193	-1.0655211210250854	0.019929772	No	
row_77	SMURF1	13321	-1.1053720712661743	0.018314695	No	
row_78	DUSP22	13399	-1.127612829208374	0.019693628	No	
row_79	ACVR1B	13834	-1.2549738883972168	0.001170546	No	
row_80	LTBP3	13912	-1.2793980836868286	0.0033319728	No	
row_81	BMP6	13999	-1.3132290840148926	0.005149523	No	
row_82	PXN	14030	-1.326075553894043	0.010258178	No	
row_83	TGFB1	14341	-1.4374161958694458	-1.8356566E-4	No	
row_84	CHRD	14439	-1.4809547662734985	0.0018651965	No	
row_85	MAPK3	14645	-1.5854088068008423	-0.00176696	No	
row_86	GDF15	14915	-1.7178287506103516	-0.008402032	No	
row_87	RGCC	15079	-1.811125636100769	-0.008451901	No	
row_88	ACVRL1	15637	-2.158911943435669	-0.029398158	No	
row_89	ARRB2	15810	-2.2749056816101074	-0.027575403	No	
row_90	RGMA	15839	-2.2923107147216797	-0.017370379	No	
row_91	FAM83G	16523	-2.975996971130371	-0.041360322	No	
row_92	AMHR2	16579	-3.0373849868774414	-0.028869094	No	
row_93	FURIN	16780	-3.3531546592712402	-0.023100121	No	
row_94	TGFBR3	16887	-3.558119297027588	-0.010861313	No	
row_95	JUN	16919	-3.630941152572632	0.0060719424	No	
row_96	PTPRK	17224	-4.8654561042785645	0.013648169	No	
